,Go-back N_k,Go-back N_times,Selective repeat_k,Selective repeat_times
0,1.0,0.04033794403076172,1.0,0.03262615203857422
1,0.8163857544075099,2.6431250095367433,0.9132980177717019,1.8256722927093505
2,0.620156424559813,6.736746549606323,0.8111412118405544,3.7263094902038576
3,0.5051204337955925,10.470527029037475,0.7254072062272504,5.1311225414276125
4,0.4250160205680638,14.343480920791626,0.5929091225747668,7.670391178131103
5,0.3361110499526694,20.857906913757326,0.4862924559342434,10.5739089012146
6,0.26688751828566126,28.800371742248537,0.4013089660139723,13.62568383216858
7,0.17263402459059085,50.44980897903442,0.29913873081700215,19.644177961349488
8,0.1052084910825356,87.61931037902832,0.20554267046836427,30.22880549430847
9,0.05338702614004803,182.91711668968202,0.10534672250265631,61.871648454666136
